Borough,ClosureType,EditDate,GISpropNum,OMPpropID,Red Sign Installed,Status,accessibility,accessibilityLevel,location,name,point,rules,system,Approx Date Closed,Approx Date Reopened,Community Board,District
X,Completely Locked,06/22/2020 10:29:17 AM,X244,X244,,Reopened,false,Not Applicable,W. 181 St. bet. Grand Ave. and Davidson,Grand Playground,POINT (1009894.4112975601 251097.3771198988),Adults not allowed in some locations,X244-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,205,X-05
X,Completely Locked,06/22/2020 11:14:47 AM,X214,X214,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Olinville Ave. at Rosewood St.,Magenta Playground,POINT (1020796.7418550551 257534.7018436491),Adults Allowed,X214-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,212,X-12
M,Completely Locked,06/23/2020 09:14:23 AM,M283,M283-01,,Reopened,,,,Nelson Rockefeller Park Playground North,POINT (979937.8186518103 200895.5273925662),,,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,101,M-01
X,Completely Locked,06/22/2020 11:09:38 AM,X121,X121,,Reopened,false,Not Applicable,Bradford Ave. bet. La Salle Ave. and Waterbury Ave.,Bufano Park,POINT (1031037.8919763861 244575.5036807209),Adults Allowed,X121-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,210,X-10
B,Completely Locked,06/23/2020 10:08:49 AM,B287,B287,,Reopened,,,,Andries Playground,POINT (999114.1136324704 166195.8746791482),,,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,314,B-14
X,Completely Locked,06/22/2020 10:18:37 AM,X010A,X010A-02,,Reopened,false,Not Applicable,E 175 St & Arthur Ave,Tremont Plgd (2),POINT (1013420.878982142 246945.7108825594),Adults Allowed,X010A-CPA-0002,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,206,X-06
B,Completely Locked,06/22/2020 04:19:50 PM,B118B,B118B,true,Reopened,,,,St. Mary's Park,POINT (985020.540201388 185718.3747943244),,,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,306,B-06
Q,Completely Locked,06/21/2020 06:41:49 PM,Q305,Q305,,Reopened,false,Not Applicable,65 Pl. bet. Shaler Ave. and the rail yards,Mafera Park,POINT (1014421.116811052 196420.2000571489),Adults Allowed,Q305-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 09:00:00 AM,405,Q-05
Q,Completely Locked,06/21/2020 11:14:48 AM,Q020,Q020-01,,Reopened,false,Not Applicable,Jamaica Ave & Elton St,Lower Highland Playground,POINT (1015980.84203805 188521.1712358147),Unknown,Q020-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 11:14:45 AM,305,Q-05A
M,Completely Locked,06/22/2020 03:31:59 PM,M071,M071-37,,Reopened,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,"W 112-113 Sts, Riverside Dr",Tot Lot One Hundred And Twelve,POINT (993128.1397120507 233094.3793333173),Unknown,M071-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,109,M-14
B,Completely Locked,06/22/2020 03:35:50 PM,B267,B267,,Reopened,false,Not Applicable,Winthrop St. between Rogers Ave. and Bedford Ave.,Winthrop Playground,POINT (996794.0470783858 178484.0459688902),Adults Allowed,B267-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,309,B-09
B,Completely Locked,06/22/2020 01:39:23 PM,B236,B236,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Ralph Ave. and Farragut Rd.,Glenwood Playground,POINT (1006398.3940113931 171184.4805155545),Adults Allowed,B236-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,318,B-18
B,Completely Locked,06/22/2020 01:55:05 PM,B129,B129-01,,Reopened,,,,Leon S Kaiser Playground,POINT (985540.9245715588 149929.0266354829),,,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,313,B-13
X,Completely Locked,06/22/2020 10:00:32 AM,X290,X290,,Reopened,,,"Longfellow Ave., Lowell St., E. 165 St.",Longfellow Playground,POINT (1015369.5791529721 240083.7354333103),,,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,202,X-02
M,Completely Locked,06/22/2020 03:57:42 PM,M088,M088-03,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,E 7 St - 8 St & Ave B,Tompkins Square Park,POINT (989366.3047160507 203640.6911935657),Unknown,M088-CPA-0002,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,103,M-03
X,Partially Locked,06/22/2020 09:54:46 AM,X194,X194,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,E 156 St bet. Jackson Av and Forest Av,Captain Rivera Playground,POINT (1009986.232636228 237360.05715364224),Adults Allowed,X194-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,201,X-01
B,Completely Locked,06/22/2020 11:35:22 AM,B283,B283,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Belmont Ave. between Forbell St. and Drew St.,Belmont Playground,POINT (1022272.70379813 185391.9757225662),Adults Allowed,B283-CPA-0001,03/31/2020 07:11:11 PM,06/20/2020 12:00:00 AM,305,B-05
B,Completely Locked,06/22/2020 03:35:31 PM,B012,B012-02,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Brooklyn Ave & Prospect Pl,Brower Park,POINT (999907.8394072204 184658.0910354704),Adults not allowed in some locations,B012-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,308,B-08
Q,Completely Locked,06/22/2020 01:08:28 PM,Q354,Q354,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,160 St. bet. 75 Ave. and 75 Rd.,Playground Seventy Five,POINT (1037366.808124304 203988.6813112199),Adults Allowed,Q354-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,408,Q-08
B,Completely Locked,06/23/2020 10:01:04 AM,B348,B348,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Tompkins Ave., Willoughby Ave., Vernon Ave.",Willoughby Playground,POINT (999097.2531018853 192285.23358955982),Adults Allowed,B348-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,303,B-03
Q,Not Lockable,06/21/2020 02:55:40 PM,Q092,Q092,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"N. Conduit Ave., 135 Ave. bet. 130 Pl. and 134 St.",Police Officer Edward Byrne Park,POINT (1037821.0933049772 182506.749209553),Adults Allowed,Q092-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 02:55:37 PM,410,Q-10
M,Partially Locked,06/22/2020 04:25:26 PM,M208D,M208D,true,Reopened,,,,Each One Teach One,POINT (1002363.7702510081 233352.9987792512),,,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,111,M-11
X,Not Lockable,07/06/2020 12:48:59 PM,X148A3,X148A3,,Reopened,,,,Bridge Playground,POINT (1005244.193891972 246892.33894206583),,,03/31/2020 07:11:11 PM,07/06/2020 12:00:00 AM,204,X-04
Q,Partially Locked,06/19/2020 01:56:40 PM,Q391,Q391,,Reopened,false,Not Applicable,164 Pl. bet. Grand Central Pkwy. Sr. Rd. S. and 84 Ave.,Joseph Austin Playground,POINT (1039308.996497139 200019.9878050536),Adults Allowed,Q391-CPA-0001,03/31/2020 07:11:11 PM,06/19/2020 01:56:37 PM,408,Q-08
Q,Partially Locked,06/21/2020 11:14:48 AM,Q020,Q020-02,,Reopened,false,Not Applicable,Heath Pl & Highland Blvd,Upper Highland Playground,POINT (1014008.1156685501 188072.6855842322),Unknown,Q020-CPA-0002,03/31/2020 07:11:11 PM,06/21/2020 11:14:45 AM,305,Q-05A
R,Completely Locked,06/23/2020 01:21:02 PM,R067,R067,,Reopened,false,Not Applicable,Dongan Hills Ave. and Jefferson St.,Gen. Douglas MacArthur Park,POINT (956152.379674226 152668.2334273905),Adults Allowed,R067-CPA-0001,03/31/2020 07:11:11 PM,06/23/2020 12:00:00 AM,502,R-02
Q,Completely Locked,06/25/2020 11:28:00 AM,Q516,Q516,,UnderConstruction,,,,Lt. Michael R. Davidson Playground,POINT (1008214.47600913 212044.481144473),,,03/31/2020 07:11:11 PM,06/25/2020 11:27:58 AM,402,Q-02
Q,Partially Locked,06/19/2020 10:47:45 AM,Q015,Q015-02,,Reopened,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,"Union Tpke, Park Lane S, Adj Overlook",Sobelsohn Park,POINT (1029723.625904143 197822.0007312298),Unknown,Q015-CPA-0001,03/31/2020 07:11:11 PM,06/19/2020 10:47:42 AM,482,Q-16
B,Completely Locked,06/22/2020 04:19:50 PM,B223A,B223A,,Reopened,,,"Rapelye St., Hicks St., Coles St.",Dimattina Playground,POINT (983488.8282820582 187007.4961135536),,,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,306,B-06
Q,Completely Locked,06/21/2020 06:41:49 PM,Q102,Q102-02,,Reopened,false,Not Applicable,"80th St, Juniper Blvd S, 77th Place, Juniper Blvd S, 78th St",Juniper North Playground Tennis,POINT (1018151.789467812 201683.6495039761),Unknown,Q102-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 09:00:00 AM,405,Q-05
R,Not Lockable,06/22/2020 04:56:40 PM,R109,R109-01,,Reopened,false,Not Applicable,"Broadway, Wayne St",Corporal Thompson Playground,POINT (951486.2184028925 172081.907854557),Adults not allowed in some locations,R109-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,501,R-01
B,Partially Locked,06/22/2020 03:29:41 PM,B128,B128,,Reopened,false,Not Applicable,Ave. P bet. E. 4 St. and Ocean Pkwy.,Colonel David Marcus Playground,POINT (992917.8845551312 161613.19650855663),Adults Allowed,B128-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,312,B-12
B,Partially Locked,06/22/2020 01:13:48 PM,B218,B218,,Reopened,,,,Paerdegat Park,POINT (1001360.9877149481 171853.2891972231),,,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,317,B-17
B,Completely Locked,06/22/2020 01:43:27 PM,B324,B324,,Reopened,false,Not Applicable,Ave. K between E. 58 St. and E. 59 St.,Jacob Joffe Fields,POINT (1006644.666156635 166835.3661823124),Adults not allowed in some locations,B324-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,318,B-18
M,Completely Locked,06/22/2020 11:04:53 AM,M264,M264,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"W. 89 St., Amsterdam Ave. and Columbus Ave.",Playground Eighty Nine LXXXIX,POINT (992066.4909167142 226572.18502864242),Adults not allowed in some locations,M264-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,107,M-07
X,Completely Locked,06/22/2020 11:05:07 AM,X170,X170,,Reopened,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,St. Peter's Ave. at Tratman Ave.,The Pearly Gates,POINT (1026983.988994971 244838.31647531694),Adults Allowed,X170-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,210,X-10
Q,Not Lockable,06/23/2020 12:26:47 PM,Q086,Q086-01,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,149 St & 25 Ave,Leonardo Ingravallo Playground,POINT (1034828.021207139 222094.1555988938),Adults Allowed,Q086-CPA-0001,03/31/2020 07:11:11 PM,06/23/2020 12:26:44 PM,407,Q-07
Q,Completely Locked,06/21/2020 04:56:36 PM,Q367,Q367,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Rockaway Beach Blvd. bet. Beach 84 St. and Beach 81 St.,Hammel Playground,POINT (1037112.409026802 153636.6599682271),Adults Allowed,Q367-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 04:56:33 PM,414,Q-14
Q,Completely Locked,06/21/2020 03:11:39 PM,Q301,Q301,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Union Hall St., 160 St. bet. 110 Ave. and 109 Ave.",Jamaica Playground,POINT (1042407.067400724 191897.387908563),Adults Allowed,Q301-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 03:00:00 PM,412,Q-12
Q,Completely Locked,06/22/2020 06:30:59 PM,Q395,Q395,,Reopened,,,"37 St., 38 St., bet. 20 Rd. and 20 Ave.",Steinway Playground,POINT (1010986.5065543061 222165.8208099008),,,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,401,Q-01
X,Partially Locked,06/22/2020 09:35:38 AM,X045,X045-01,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Jackson Ave & 144 St,St Mary's Playground East,POINT (1009028.190589055 234527.359078899),Adults Allowed,X045-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,201,X-01
Q,Partially Locked,06/21/2020 12:55:58 PM,Q009,Q009-01,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Poppenhusen Ave, opp 119 St",MacNeil Playground,POINT (1025470.7262734771 228346.0797748119),Unknown,Q009-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:55:56 PM,407,Q-07
M,Completely Locked,06/22/2020 01:09:00 PM,M215,M215,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"99 St. To 100 St., 3 Ave.",Cherry Tree Park,POINT (998793.6608612984 226089.7785131484),Adults Allowed,M215-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,111,M-11
B,Completely Locked,06/22/2020 12:32:10 PM,B345,B345,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Wortman Ave. between Vermont St. and New Jersey Ave.,Ethan Allen Playground,POINT (1015652.361395806 178242.8049815595),Adults Allowed,B345-CPA-0001,03/31/2020 07:11:11 PM,06/20/2020 12:00:00 AM,305,B-05
B,Completely Locked,06/22/2020 03:29:41 PM,B042,B042,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"18 Ave., 19 Ave., bet. 55 St. and 58 St.",Gravesend Park,POINT (988403.4867598116 166469.1254449785),Adults not allowed in some locations,B042-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,312,B-12
B,Completely Locked,06/22/2020 01:46:50 PM,B057,B057-06,,Reopened,,,,Seba Playground,POINT (1006385.9422646312 153959.298430562),,,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,318,B-18
M,Completely Locked,06/22/2020 11:46:50 AM,M042,M042-03,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,W 214 St & Seaman Ave,Indian Road Plgd,POINT (1006403.6758249701 256863.73369739953),Adults not allowed in some locations,M042-CPA-0003,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,112,M-12
B,Completely Locked,06/24/2020 10:46:06 AM,B404,B404,,Reopened,false,Not Applicable,E. 94 St. bet. Rutland Rd. and E. New York Ave.,East Flatbush Children's Playground,POINT (1004504.367943808 180922.8537553101),Adults not allowed in some locations,B404-CPA-0001,03/31/2020 07:11:11 PM,06/23/2020 12:00:00 AM,317,B-17
X,Completely Locked,06/22/2020 10:49:43 AM,X002,X002-14,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Bronx River Pkwy & Rosewood St,Rosewood Playground,POINT (1019957.0575108079 257386.6129009724),Adults Allowed,X002-CPA-0006,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,212,X-14
R,Completely Locked,06/23/2020 10:15:20 AM,R016,R016-01,,Reopened,false,Not Applicable,"Cedar Grove Ave, New Dorp Ln, Neptune St",Corporal Allan F. Kivlehan Park,POINT (957099.7409684658 144718.4770172238),Adults Allowed,R016-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,595,R-03
Q,Completely Locked,06/21/2020 06:55:59 PM,Q425,Q425,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Yellowstone Blvd. bet. 68 Ave. and 68 Rd.,Yellowstone Park,POINT (1026399.8917379681 203876.2835701406),Adults Allowed,Q425-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 09:45:00 AM,406,Q-06
M,Completely Locked,06/22/2020 11:58:32 AM,M010,M010-143,,Reopened,false,Not Applicable,79 St & 5 Av,Pat Hoffman Friedman Plgd,POINT (994211.2720602154 222620.4222628921),Unknown,M010-CPA-0007,03/31/2020 07:11:11 PM,06/23/2020 12:00:00 AM,164,M-13
X,Completely Locked,06/22/2020 09:40:13 AM,X348,X348-01,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,North Side Of E 157th St & River Ave,River Avenue Parks,POINT (1004519.889238223 240143.5948936492),Adults not allowed in some locations,X348-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,204,X-04
B,Completely Locked,06/22/2020 04:33:21 PM,B223H,B223H,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Columbia Hts. at Middagh St.,Harry Chapin Playground,POINT (985664.234364301 194550.82321847984),Adults not allowed in some locations,B223H-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,302,B-02
Q,Not Lockable,06/21/2020 11:39:53 AM,Q134,Q134,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,240 St. bet. Braddock Ave. and Fairbury Ave.,Breininger Park,POINT (1059359.947208807 204018.9771823883),Unknown,Q134-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 11:39:50 AM,413,Q-13
X,Completely Locked,06/22/2020 10:17:13 AM,X148E,X148E,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Cross Bronx Exwy Service Rd N bet. Topping Av and Clay Av,Peace Park,POINT (1010533.384100974 247218.2359280586),Adults Allowed,X148E-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,205,X-05
R,Completely Locked,06/22/2020 04:52:16 PM,R069,R069,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Foote Ave., Howard Ave., Martha St., Clove Rd.",Terrace Playground,POINT (956974.3376759739 162950.8063661456),Adults Allowed,R069-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 04:52:14 PM,501,R-01
Q,Partially Locked,06/21/2020 10:11:32 AM,Q356,Q356,,Reopened,false,Not Applicable,67 Ave. bet. 230 St. and 233 St.,Alley Park,POINT (1054636.397928894 211525.4336261451),Adults Allowed,Q356-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 10:11:29 AM,411,Q-07A
B,Completely Locked,06/22/2020 04:33:34 PM,B222,B222,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"bet. Pierrepont Pl., Pierrepont St. and the BQE",Pierrepont Playground,POINT (984953.4408383816 192910.7986113876),Adults Allowed,B222-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,302,B-02
Q,Completely Locked,06/21/2020 04:56:36 PM,Q163,Q163-21,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Shorefront Parkway And Beach 74 St,Rockaway Beach Playground,POINT (1039288.958151385 152974.75578022),Unknown,Q163-CPA-0003,03/31/2020 07:11:11 PM,06/21/2020 04:56:33 PM,414,Q-14
M,Completely Locked,06/22/2020 03:29:27 PM,M072,M072-03,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,W 148 St & Riverside Dr,Palisades Playground,POINT (997911.5950401427 241328.5436392277),Unknown,M072-CPA-0002,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,109,M-14
Q,Completely Locked,06/22/2020 12:57:44 PM,Q021B,Q021B,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,McLaughlin Ave. bet. Sutro St. and Francis Lewis Blvd.,McLaughlin Playground,POINT (1049013.110290974 203707.3268870562),Adults not allowed in some locations,Q021B-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,408,Q-08
M,Completely Locked,06/22/2020 03:44:27 PM,M159,M159,,UnderConstruction,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,7 Ave. bet. W. 150 St. and W. 151 St.,Frederick Johnson Playground,POINT (1001916.2993010582 239810.50139972573),Adults Allowed,M159-CPA-0001,03/31/2020 07:11:11 PM,,110,M-10
R,Not Lockable,06/22/2020 05:07:27 PM,R031,R031-08,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Between Park Building And Pond,Wolfe's Pond Park,POINT (931145.0950432271 127354.02158872782),Adults not allowed in some locations,R031-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,503,R-03
M,Partially Locked,06/22/2020 10:44:20 AM,M056,M056-03,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Morningside Ave & 113 St,Morningside Park,POINT (995755.0160199703 231937.5962138027),Adults not allowed in some locations,M056-CPA-0003,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,109,M-09
X,Completely Locked,06/22/2020 10:43:47 AM,X180,X180,,Reopened,,,Perry Ave. bet. E. 205 St. and E. 208 St,Whalen Playground,POINT (1018060.178430557 257848.1159149706),,,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,207,X-07
M,Completely Locked,06/29/2020 12:01:29 PM,M200A,M200A,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"W. 108 St. to W. 109 St., Columbus Ave. and Amsterdam Ave.",Anibal Aviles Playground,POINT (994533.3622952998 231172.5163791478),Adults not allowed in some locations,M200A-CPA-0001,03/31/2020 07:11:11 PM,06/29/2020 12:00:00 AM,107,M-07
X,Completely Locked,06/22/2020 01:12:24 PM,X185,X185,,Reopened,,,"E 161 St, Trinity Av, E 163 St, Cauldwel",Dunbar Playground,POINT (1010143.483634055 239136.0388378948),,,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,203,X-03
X,Completely Locked,06/22/2020 10:06:59 AM,X299,X299,,Reopened,false,Not Applicable,Claremont Pkwy bet. Park Av and Washington Av,Little Claremont Playground,POINT (1010867.641634554 244921.81269939244),Adults Allowed,X299-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,203,X-03
Q,Completely Locked,06/21/2020 06:55:59 PM,Q335,Q335,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Booth St. bet. 68 Ave. and 68 Dr.,Russell Sage Playground,POINT (1025392.800248221 203134.7184522301),Adults Allowed,Q335-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 09:45:00 AM,406,Q-06
Q,Partially Locked,06/22/2020 01:07:06 PM,Q336,Q336,,Reopened,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,"Union Turnpike, Vleigh Pl., 141 St.",Judge Moses Weinstein Playground,POINT (1033961.9789759672 201158.2132188976),Adults Allowed,Q336-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,408,Q-08
X,Completely Locked,06/22/2020 10:59:48 AM,X204,X204,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Story Ave. bet. Taylor Ave. and Thieriot Ave.,Story Playground,POINT (1022255.4850005511 239147.08409139508),Adults Allowed,X204-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,209,X-09
Q,Partially Locked,06/21/2020 10:11:32 AM,Q001,Q001-04,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Horatio Pkwy & 50th Ave,Horatio Playground,POINT (1052522.040609047 215777.5471691489),Unknown,Q001-CPA-0002,03/31/2020 07:11:11 PM,06/21/2020 10:11:29 AM,411,Q-07A
M,Partially Locked,06/23/2020 09:14:34 AM,M283,M283-02,,Reopened,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,"River Terr, Warren St",Nelson Rockefeller Playground,POINT (979638.1778468937 200443.0197673887),Unknown,M283-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,101,M-01
X,Completely Locked,06/22/2020 09:58:19 AM,X113,X113,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Spofford Av bet. Faile St and Hunts Point Av,Hunts Point Playground,POINT (1015793.1120985601 235924.6978196502),Adults Allowed,X113-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,202,X-02
Q,Completely Locked,06/21/2020 03:18:49 PM,Q027,Q027-02,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,120th Ave & 238th Street,Laurelton Parkway West Playground,POINT (1060015.966894135 189118.1241101474),Unknown,Q027-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 03:18:46 PM,413,Q-13
B,Completely Locked,06/23/2020 10:01:04 AM,B298,B298,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Park Ave., Martin Luther King Pl., Marcy Ave.",Stockton Playground,POINT (998615.521125719 193290.2004116476),Unknown,B298-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,303,B-03
M,Completely Locked,06/22/2020 11:19:07 AM,M010,M010-187,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,91 St & Central Park West,Safari Plgd,POINT (993545.6047563851 226543.5315426439),Unknown,M010-CPA-0013,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,164,M-13
Q,Completely Locked,06/23/2020 10:55:47 AM,Q099,Q099-17,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"College Pt Blvd, Van Wyck Expwy, At Booth Memorial Ave",Lawrence Playground,POINT (1030396.2485746441 211974.0341068953),Unknown,Q099-CPA-0004,03/31/2020 07:11:11 PM,06/23/2020 10:55:44 AM,407,Q-15
B,Completely Locked,06/22/2020 01:34:45 PM,B274,B274,,Reopened,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,Seaview Ave. between E. 99 St. and E. 101 St.,Bayview Playground,POINT (1015502.008350059 170572.8314763904),Adults Allowed,B274-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,318,B-18
M,Completely Locked,06/22/2020 11:42:55 AM,M028,M028-02,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"W 162 St, E/o Riverside Dr",Lily Brown Playground,POINT (999153.5961650609 244901.7697604746),Adults Allowed,M028-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,112,M-12
B,Not Lockable,06/22/2020 03:35:31 PM,B364,B364,,Reopened,false,Not Applicable,"Bergen St., Utica Ave., Rochester Ave., St Mark's Ave.",Woods Playground,POINT (1003904.60273914 185083.3795549721),Adults Allowed,B364-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,308,B-08
B,Completely Locked,06/22/2020 11:24:37 AM,B163,B163,,Reopened,false,Not Applicable,"Atlantic Ave., Cleveland St. and Liberty Ave.",Sperandeo Brothers Playground,POINT (1016466.068429798 186224.1545043886),Adults Allowed,B163-CPA-0001,03/31/2020 07:11:11 PM,06/20/2020 12:00:00 AM,305,B-05
