Borough,ClosureType,EditDate,GISpropNum,OMPpropID,Red Sign Installed,Status,accessibility,accessibilityLevel,location,name,point,rules,system,Approx Date Closed,Approx Date Reopened,Community Board,District
Q,Completely Locked,06/21/2020 01:07:46 PM,Q211,Q211,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Kissena Blvd. bet. Maple Ave. and Franklin Ave.,Maple Playground,POINT (1032384.2839686421 214747.4442424774),Adults Allowed,Q211-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 01:07:44 PM,407,Q-07
X,Completely Locked,06/22/2020 10:32:41 AM,X197,X197,,Reopened,false,Not Applicable,Mosholu Parkway South bet. Bainbridge Ave. and Briggs Ave.,Mosholu Playground,POINT (1016616.4480503049 257280.3007776439),Adults Allowed,X197-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,207,X-07
Q,Partially Locked,06/23/2020 11:07:29 AM,Q021C,Q021C,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"210 St., Oceania St. bet. the Long Island Exwy. and 64 Ave.",Seven Gables Playground,POINT (1049062.325087547 210374.5228702277),Adults Allowed,Q021C-CPA-0001,03/31/2020 07:11:11 PM,06/23/2020 11:00:00 AM,411,Q-11
X,Not Lockable,06/22/2020 10:10:16 AM,X010,X010-05,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"Crotona Pk E, E 173 St",Hill & Dale Playground,POINT (1014508.3384213891 244368.05035547912),Adults Allowed,X010-CPA-0004,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,203,X-03
M,Completely Locked,07/17/2020 01:31:58 PM,M069,M069,,UnderConstruction,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Thompson St bet. Spring St and Prince St,Vesuvio Playground,POINT (983536.444984719 203578.6673674732),Adults Allowed,M069-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,102,M-02
B,Completely Locked,06/22/2020 12:20:00 PM,B149A,B149A,,Reopened,false,Not Applicable,Elton St. bet. New Lots Ave. and Hegeman Ave.,Elton Playground,POINT (1017259.6767507201 182013.4841199815),Adults Allowed,B149A-CPA-0001,03/31/2020 07:11:11 PM,06/20/2020 12:00:00 AM,305,B-05
Q,Completely Locked,06/21/2020 02:55:40 PM,Q094,Q094-01,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Bet 81-82 Sts, N Conduit Ave",Addabbo Playground,POINT (1024575.7218298911 184602.8368808925),Adults Allowed,Q094-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 02:55:37 PM,410,Q-10
B,Partially Locked,06/22/2020 12:39:21 PM,B343,B343,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Linden Blvd., Osborn St., Rockaway Ave., Hegeman Ave.",Osborn Playground,POINT (1010329.4160049711 178350.6604088992),Adults Allowed,B343-CPA-0001,03/31/2020 07:11:11 PM,06/20/2020 12:00:00 AM,316,B-16
R,Completely Locked,06/22/2020 04:48:41 PM,R025,R025,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Beechwood Ave., Crescent Ave. and Jersey St.",Mahoney Playground,POINT (960550.3590672164 173621.6675703079),Adults not allowed in some locations,R025-CPA-0002,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,501,R-01
Q,Partially Locked,06/22/2020 01:16:34 PM,Q337,Q337,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,106 St. bet. Atlantic Ave. and 94 Ave.,Maurice A FitzGerald Playground,POINT (1028775.165530726 190873.0851671398),Adults Allowed,Q337-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,409,Q-09
